extrap.type,rep,mod.type,beta1.mean,beta2.mean,beta1.median,beta2.median,beta1_25,beta1_975,beta2_25,beta2_975
High,1,PO,0.07479664960069872,-0.09082362846283146,0.07527675481730013,-0.09026746158937535,-0.18446925742339126,0.3313908993302166,-0.3003464156879676,0.11555774504040514
High,2,Integrated,0.07013025281457881,-0.12163231886265624,0.07054437373974769,-0.1211547106327297,-0.18901052141345998,0.32696135122702036,-0.33174347907553514,0.0857746897396812
High,2,PO,0.07430945509133256,-0.09115585080886922,0.07475963346052596,-0.09059011423653046,-0.1848560128170958,0.33097572929629654,-0.3009466139584835,0.11543939066352672
High,3,Integrated,0.0963892779936458,-0.09706030022860694,0.09673757678014873,-0.09655140032538698,-0.1630258212898032,0.35384257189109947,-0.3076307491959499,0.11063080425303903
High,3,PO,0.07403873927828451,-0.09073231162871842,0.0745225637829935,-0.09017135821543898,-0.18508767051447295,0.33047053746633376,-0.3001996888176372,0.11556695953200619
High,4,Integrated,0.08459002367470936,-0.10995886085179507,0.08519486665911397,-0.10938022564362569,-0.17322933422867637,0.33902136032823504,-0.31704940437126367,0.09386214122497291
High,4,PO,0.07436435241135862,-0.09076547160459804,0.07483826242784006,-0.09021141765982842,-0.18472771258181137,0.3308177882808995,-0.3002168450369067,0.11555686973456875
High,5,Integrated,0.0681630811931992,-0.07048191987419562,0.06855551174185584,-0.07022389188859639,-0.19609380073866012,0.3302334203856269,-0.2823147240887081,0.13989476023772207
High,5,PO,0.0737987073057869,-0.09100582302413103,0.07427439660366708,-0.09044881217542608,-0.18558136145611986,0.33053473709420356,-0.30071707414150173,0.11556327199763275
High,6,Integrated,0.07886487749091961,-0.08715310492042999,0.0792649001246058,-0.08663265183552701,-0.18213342736922927,0.3376324066341887,-0.29856430876467505,0.12131697887286724
High,6,PO,0.07446146078798843,-0.09082333249092941,0.074961026227105,-0.09026529665150687,-0.18498542518314728,0.3311220045711637,-0.30037789556665356,0.11558093138637719
High,7,Integrated,0.12943838861988308,-0.10077072314962268,0.1299884517227233,-0.10038035249067746,-0.12480756273333407,0.3806159929462809,-0.30692542132742384,0.10317990999912603
High,7,PO,0.07467625673934038,-0.09092224644144016,0.07512862544023183,-0.09036272919523254,-0.1844104471442209,0.33124823652734997,-0.3005033476655311,0.11549969127560393
High,8,Integrated,0.031967767310371126,-0.10732127616382127,0.032210193628939496,-0.10686054882414998,-0.23299744556906266,0.2955870788586986,-0.3237506475456333,0.1065037614441947
High,8,PO,0.07482453641590295,-0.09090576839081196,0.07528519041700757,-0.09034434909760201,-0.1842769871373598,0.3313639292828628,-0.3004854739669441,0.11550307133606504
High,9,Integrated,0.022729183672307262,-0.10315333257771847,0.023110616053455532,-0.10269771583619193,-0.2382944414005811,0.2816274612367272,-0.3136003932014938,0.10472218717415462
High,9,PO,0.07454913057026911,-0.09080803268961499,0.07500718308512219,-0.09025272331805878,-0.18452210879084435,0.33107383270682267,-0.3003348287351199,0.11558283593287473
High,10,Integrated,0.07537378453985742,-0.1034897016948374,0.07569367556613653,-0.10309862946168522,-0.17515408846839048,0.32412554002899213,-0.3081007975665064,0.0989150656660754
High,10,PO,0.07369214224140658,-0.09081720579771749,0.07417411536130147,-0.09026241830998807,-0.1856215014332443,0.33032506298396824,-0.3003888588907584,0.11562435577796461
